кат;назва;наявність;код;опт;роздріб
Поводковый материал;            Predator-Z Catfish Leader (коричневый), 0,8, 70,0kg, 15m;4,000;CZ6699;5,24 EUR;220,08
Поводковый материал;            Predator-Z Catfish Leader (коричневый), 1,0, 110,0kg, 15m;2,000;CZ6705;5,63 EUR;236,46
Поводковый материал;            Predator-Z Catfish Leader (коричневый), 1,3, 160,0kg, 15m;5,000;CZ6712;5,99 EUR;251,58
Поводковый материал;            Predator-Z Kevlar Leader (зеленый), 0,18, 6,0kg, 20m;;CZ6729;3,74 EUR;157,08
Поводковый материал;            Predator-Z Kevlar Leader (зеленый), 0,24, 15,0kg, 20m;4,000;CZ6736;3,74 EUR;157,08
Поводковый материал;            Predator-Z Kevlar Leader (зеленый), 0,30, 35,0kg, 20m;;CZ6743;3,74 EUR;157,08
Поводковый материал;            Predator-Z Titanium Wire Leader, 11kg, 20cm,  2 шт в упаковке (ТИТАНОВЫЕ ПОВОДКИ);;CZ5579;1,49 EUR;62,58
Поводковый материал;            Predator-Z Titanium Wire Leader, 11kg, 30cm,  2 шт в упаковке (ТИТАНОВЫЕ ПОВОДКИ);8,000;CZ5609;1,79 EUR;75,18
Поводковый материал;            Predator-Z Titanium Wire Leader, 15kg, 20cm,  2 шт в упаковке (ТИТАНОВЫЕ ПОВОДКИ);28,000;CZ5586;2,33 EUR;97,86
Поводковый материал;            Predator-Z Titanium Wire Leader, 15kg, 30cm,  2 шт в упаковке (ТИТАНОВЫЕ ПОВОДКИ);10,000;CZ5616;2,54 EUR;106,68
Поводковый материал;            Predator-Z Titanium Wire Leader, 7kg, 20cm,  2 шт в упаковке (ТИТАНОВЫЕ ПОВОДКИ);;CZ5562;1,13 EUR;47,46
Поводковый материал;            Predator-Z Titanium Wire Leader, 7kg, 30cm,  2 шт в упаковке (ТИТАНОВЫЕ ПОВОДКИ);15,000;CZ5593;1,19 EUR;49,98
Поводковый материал;            Predator-Z Wire Leader 1x7, 12kgs, 15cm: 10pcs, 20cm: 30pcs, 25cm: 10pcs;5,000;CZ3248;2,93 EUR;123,06
